Solver,Matrix Type,Matrix Size,Generation Time,Load Time,Solve Time,Total Time,Iterations,Final Error,Converged,Timestamp
Gauss-Seidel,Dense,500,0.00474404,0.0191342,0.00231208,0.089267,50,2.87391e-05,true,1771463453
Gaussian Elimination,Dense,500,0.00431212,0.017406,0.010175,0.0794034,0,2.22097e-07,true,1771463453
Gauss-Seidel,Dense,1000,0.0180031,0.0661473,0.00895042,0.280159,50,0.00087802,true,1771463453
Gaussian Elimination,Dense,1000,0.0182115,0.0629523,0.0788629,0.349723,0,1.59947e-06,true,1771463453
Gauss-Seidel,Dense,1500,0.0412692,0.15974,0.0296068,0.668374,50,0.000624527,true,1771463454
Gaussian Elimination,Dense,1500,0.0555617,0.155568,0.352485,1.05754,0,4.9872e-06,true,1771463455
Gauss-Seidel,Dense,2000,0.0815288,0.278277,0.0565838,1.29415,50,0.0004349,true,1771463456
Gaussian Elimination,Dense,2000,0.104393,0.319692,0.816233,2.19557,0,1.25738e-05,true,1771463459
Gauss-Seidel,Dense,2500,0.13285,0.565514,0.109245,2.3487,50,0.000364712,true,1771463461
Gaussian Elimination,Dense,2500,0.176234,0.581194,1.80168,4.10688,0,2.2602e-05,true,1771463465
Gauss-Seidel,Dense,3000,0.215991,1.19032,0.192797,4.13538,50,0.000326518,true,1771463469
Gaussian Elimination,Dense,3000,0.252799,0.81506,3.33268,6.70743,0,3.92051e-05,true,1771463476
Gauss-Seidel,Dense,3500,0.474578,1.17296,0.215829,5.53441,50,0.000260247,true,1771463481
Gaussian Elimination,Dense,3500,0.291957,1.131,5.56768,9.95052,0,6.96475e-05,true,1771463491
Gauss-Seidel,Dense,4000,0.406032,2.71728,0.295871,9.18111,50,0.000206866,true,1771463501
Gaussian Elimination,Dense,4000,0.445486,3.16822,13.6701,22.1851,0,0.000101254,true,1771463523
Gauss-Seidel,Dense,4500,0.685167,2.21086,0.262261,9.02153,50,0.000192743,true,1771463532
Gaussian Elimination,Dense,4500,0.37604,2.32954,14.5412,22.5435,0,0.000148715,true,1771463554
Gauss-Seidel,Dense,5000,0.513578,2.73637,0.365413,10.5887,50,0.000179344,true,1771463565
Gaussian Elimination,Dense,5000,0.460808,3.10135,17.6491,27.7034,0,0.00018079,true,1771463593
Gauss-Seidel,Dense,5500,0.748862,2.76368,0.411818,11.6593,50,0.000184111,true,1771463604
Gaussian Elimination,Dense,5500,0.537606,2.9491,22.0306,32.5403,0,0.000240002,true,1771463637
Gauss-Seidel,Dense,6000,0.773232,3.28588,0.443582,13.6075,50,0.000186046,true,1771463651
Gaussian Elimination,Dense,6000,0.660652,3.29619,28.2445,40.568,0,0.00031732,true,1771463691
Gauss-Seidel,Dense,6500,0.899208,3.96221,0.454673,15.842,50,0.000198309,true,1771463707
Gaussian Elimination,Dense,6500,0.743853,3.82072,35.8958,50.3649,0,0.000396998,true,1771463758
Gauss-Seidel,Dense,7000,1.05511,4.34052,0.516622,18.0982,50,0.000222629,true,1771463776
Gaussian Elimination,Dense,7000,0.878517,8.38789,64.7749,87.9251,0,0.000588657,true,1771463864
Gauss-Seidel,Dense,7500,1.40019,5.35948,0.59325,23.2282,50,0.000248125,true,1771463887
Gaussian Elimination,Dense,7500,0.996506,5.23287,59.7511,80.1536,0,0.000686211,true,1771463967
Gauss-Seidel,Dense,8000,1.55987,6.48629,0.654222,26.3213,50,0.0207117,true,1771463994
Gaussian Elimination,Dense,8000,1.29981,6.0158,73.029,97.3114,0,0.000843348,true,1771464091
Gauss-Seidel,Dense,8500,1.57914,6.46105,0.737106,26.9337,50,0.000348345,true,1771464118
Gaussian Elimination,Dense,8500,1.2823,6.51428,82.3155,107.623,0,0.000984067,true,1771464226
Gauss-Seidel,Dense,9000,1.67658,7.70186,0.720384,31.7541,50,0.0200777,true,1771464258
Gaussian Elimination,Dense,9000,1.4399,7.96692,107.06,136.567,0,0.00114213,true,1771464394
